,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,10,October,675,2017
1,GRC,Greece,ALB,Albania,10,October,225,2017
2,GRC,Greece,LBN,Lebanon,10,October,15,2017
3,GRC,Greece,LKA,Sri Lanka,10,October,5,2017
4,GRC,Greece,MDA,Rep. of Moldova,10,October,5,2017
5,GRC,Greece,MLI,Mali,10,October,5,2017
6,GRC,Greece,ETH,Ethiopia,10,October,10,2017
7,GRC,Greece,MAR,Morocco,10,October,20,2017
8,GRC,Greece,DZA,Algeria,10,October,50,2017
9,GRC,Greece,PSE,Palestinian,10,October,90,2017
10,GRC,Greece,EGY,Egypt,10,October,75,2017
11,GRC,Greece,GEO,Georgia,10,October,95,2017
12,GRC,Greece,ARM,Armenia,10,October,10,2017
13,GRC,Greece,GHA,Ghana,10,October,5,2017
14,GRC,Greece,GIN,Guinea,10,October,5,2017
15,GRC,Greece,SYR,Syrian Arab Rep.,10,October,2010,2017
16,GRC,Greece,BGD,Bangladesh,10,October,110,2017
17,GRC,Greece,MMR,Myanmar,10,October,10,2017
18,GRC,Greece,NPL,Nepal,10,October,5,2017
19,GRC,Greece,IND,India,10,October,25,2017
20,GRC,Greece,IRN,Iran (Islamic Rep. of),10,October,100,2017
21,GRC,Greece,TUN,Tunisia,10,October,10,2017
22,GRC,Greece,TUR,Turkey,10,October,340,2017
23,GRC,Greece,CHN,China,10,October,40,2017
24,GRC,Greece,NGA,Nigeria,10,October,5,2017
25,GRC,Greece,PAK,Pakistan,10,October,805,2017
26,GRC,Greece,RUS,Russian Federation,10,October,5,2017
27,GRC,Greece,CMR,Cameroon,10,October,40,2017
28,GRC,Greece,COD,Dem. Rep. of the Congo,10,October,35,2017
29,GRC,Greece,IRQ,Iraq,10,October,1155,2017
30,GRC,Greece,JOR,Jordan,10,October,5,2017
31,GRC,Greece,GNQ,Equatorial Guinea,10,October,5,2017
32,GRC,Greece,KWT,Kuwait,10,October,40,2017
33,GRC,Greece,UKR,Ukraine,10,October,10,2017
34,GRC,Greece,ERI,Eritrea,10,October,20,2017
35,GRC,Greece,VEN,Venezuela (Bolivarian Republic of),10,October,5,2017
36,GRC,Greece,YEM,Yemen,10,October,25,2017
37,GRC,Greece,SEN,Senegal,10,October,5,2017
38,GRC,Greece,SOM,Somalia,10,October,40,2017
39,GRC,Greece,STA,Stateless,10,October,45,2017
40,GRC,Greece,SDN,Sudan,10,October,15,2017
