,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Somalia,2016-01-01,1st,114.0,9.7,10.0,9.4,9.0,9.3,9.5,9.5,9.0,9.7,9.7,9.7,9.5
1,South Sudan,2016-01-01,2nd,113.8,10.0,9.7,9.9,9.3,9.0,6.6,9.7,10.0,9.7,9.9,10.0,10.0
2,Central African Republic,2016-01-01,3rd,112.1,9.2,10.0,9.3,8.6,9.9,7.2,9.8,10.0,9.9,8.7,10.0,9.5
3,Sudan,2016-01-01,4th,111.5,9.2,10.0,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9.0,10.0,9.9
4,Yemen,2016-01-01,4th,111.5,10.0,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10.0
5,Syria,2016-01-01,6th,110.8,10.0,9.9,10.0,7.8,7.4,8.6,10.0,8.9,9.8,8.4,10.0,10.0
6,Chad,2016-01-01,7th,110.1,9.1,9.8,8.5,8.0,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5
7,Congo Democratic Republic,2016-01-01,8th,110.0,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10.0,9.1,9.7,9.7
8,Afghanistan,2016-01-01,9th,107.9,10.0,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9
9,Haiti,2016-01-01,10th,105.1,7.9,9.6,6.7,8.9,9.5,9.0,9.4,9.4,7.7,9.2,7.9,9.9
10,Iraq,2016-01-01,11th,104.7,10.0,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7
11,Guinea,2016-01-01,12th,103.8,9.0,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6
12,Nigeria,2016-01-01,13th,103.5,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5
13,Pakistan,2016-01-01,14th,101.7,9.3,8.9,9.7,7.4,7.0,7.3,8.3,8.2,8.2,8.9,8.9,9.6
14,Burundi,2016-01-01,15th,100.7,9.0,8.5,8.1,8.2,7.4,6.5,9.0,8.2,8.5,9.5,9.1,8.7
15,Zimbabwe,2016-01-01,16th,100.5,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7
16,Guinea Bissau,2016-01-01,17th,99.8,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5
17,Eritrea,2016-01-01,18th,98.6,7.4,8.1,6.6,8.3,7.5,8.0,9.5,8.6,9.1,9.1,8.5,7.9
18,Niger,2016-01-01,19th,98.4,8.9,8.9,7.7,8.0,8.2,7.2,7.8,9.2,6.7,9.5,8.0,8.3
19,Kenya,2016-01-01,20th,98.3,8.5,8.9,9.1,7.4,8.0,7.8,7.8,8.2,7.2,9.1,8.0,8.3
20,Cote d'Ivoire,2016-01-01,21st,97.9,7.7,9.4,8.3,6.8,8.2,7.0,8.1,8.7,8.1,8.2,8.0,9.4
21,Cameroon,2016-01-01,22nd,97.8,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8.0,8.0
22,Uganda,2016-01-01,23rd,97.7,7.3,8.9,9.0,6.7,7.6,7.6,8.3,8.5,8.0,8.7,9.1,8.0
23,Ethiopia,2016-01-01,24th,97.2,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2
24,Libya,2016-01-01,25th,96.4,9.6,9.4,8.3,8.0,5.8,6.5,9.5,7.2,9.3,5.1,8.0,9.7
25,Myanmar,2016-01-01,26th,96.3,8.4,8.6,9.9,6.4,7.9,6.0,8.7,8.7,8.6,7.3,8.3,7.5
26,Liberia,2016-01-01,27th,95.5,6.6,8.3,6.0,8.3,8.6,6.9,7.0,9.5,6.7,9.2,8.9,9.5
27,Mauritania,2016-01-01,28th,95.4,7.1,8.8,7.2,7.9,7.0,6.6,8.2,9.2,8.1,8.9,8.2,8.2
28,Mali,2016-01-01,29th,95.2,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9.0,7.0,8.7,8.1,9.6
29,North Korea,2016-01-01,30th,93.9,8.5,8.5,6.0,8.9,7.7,4.1,10.0,8.8,9.6,7.9,4.6,9.3
30,Congo Republic,2016-01-01,31st,92.2,6.7,6.7,6.9,6.7,8.3,7.1,9.1,9.2,8.2,8.1,7.9,7.3
31,Rwanda,2016-01-01,32nd,91.3,5.9,8.3,9.1,6.2,8.5,7.6,6.8,7.6,7.4,8.2,8.0,7.7
32,Nepal,2016-01-01,33rd,91.2,6.7,8.3,9.5,7.0,7.2,6.7,7.1,7.4,7.4,8.8,8.0,7.1
33,Sierra Leone,2016-01-01,34th,91.0,4.5,7.8,5.9,8.8,8.5,8.7,7.1,9.0,5.5,9.2,7.9,8.1
34,Timor-Leste,2016-01-01,35th,90.8,7.4,8.3,6.7,8.1,7.0,7.3,7.1,8.7,5.5,9.2,6.5,9.0
35,Bangladesh,2016-01-01,36th,90.7,7.8,9.6,8.9,6.3,6.9,7.5,8.0,7.8,7.6,8.0,6.3,6.0
36,Angola,2016-01-01,37th,90.5,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9.0,7.3,5.6
