,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,11,November,660,2017
1,GRC,Greece,ALB,Albania,11,November,230,2017
2,GRC,Greece,LBY,Libya,11,November,5,2017
3,GRC,Greece,LBN,Lebanon,11,November,5,2017
4,GRC,Greece,LKA,Sri Lanka,11,November,5,2017
5,GRC,Greece,ETH,Ethiopia,11,November,10,2017
6,GRC,Greece,MAR,Morocco,11,November,50,2017
7,GRC,Greece,GMB,Gambia,11,November,5,2017
8,GRC,Greece,DZA,Algeria,11,November,45,2017
9,GRC,Greece,PSE,Palestinian,11,November,75,2017
10,GRC,Greece,EGY,Egypt,11,November,60,2017
11,GRC,Greece,GEO,Georgia,11,November,95,2017
12,GRC,Greece,ARM,Armenia,11,November,5,2017
13,GRC,Greece,GHA,Ghana,11,November,5,2017
14,GRC,Greece,GIN,Guinea,11,November,10,2017
15,GRC,Greece,CIV,Côte d'Ivoire,11,November,5,2017
16,GRC,Greece,SYR,Syrian Arab Rep.,11,November,1455,2017
17,GRC,Greece,BGD,Bangladesh,11,November,135,2017
18,GRC,Greece,MMR,Myanmar,11,November,5,2017
19,GRC,Greece,NPL,Nepal,11,November,5,2017
20,GRC,Greece,IND,India,11,November,10,2017
21,GRC,Greece,IDN,Indonesia,11,November,5,2017
22,GRC,Greece,IRN,Iran (Islamic Rep. of),11,November,90,2017
23,GRC,Greece,TUN,Tunisia,11,November,5,2017
24,GRC,Greece,TUR,Turkey,11,November,255,2017
25,GRC,Greece,CHN,China,11,November,30,2017
26,GRC,Greece,UGA,Uganda,11,November,5,2017
27,GRC,Greece,NGA,Nigeria,11,November,5,2017
28,GRC,Greece,PAK,Pakistan,11,November,665,2017
29,GRC,Greece,RUS,Russian Federation,11,November,5,2017
30,GRC,Greece,CMR,Cameroon,11,November,55,2017
31,GRC,Greece,COG,Congo,11,November,5,2017
32,GRC,Greece,COD,Dem. Rep. of the Congo,11,November,20,2017
33,GRC,Greece,CUB,Cuba,11,November,5,2017
34,GRC,Greece,IRQ,Iraq,11,November,920,2017
35,GRC,Greece,DOM,Dominican Rep.,11,November,5,2017
36,GRC,Greece,GNQ,Equatorial Guinea,11,November,5,2017
37,GRC,Greece,JOR,Jordan,11,November,10,2017
38,GRC,Greece,KWT,Kuwait,11,November,35,2017
39,GRC,Greece,UKR,Ukraine,11,November,15,2017
40,GRC,Greece,ERI,Eritrea,11,November,10,2017
41,GRC,Greece,YEM,Yemen,11,November,45,2017
42,GRC,Greece,SOM,Somalia,11,November,85,2017
43,GRC,Greece,VNM,Viet Nam,11,November,5,2017
44,GRC,Greece,STA,Stateless,11,November,20,2017
45,GRC,Greece,SDN,Sudan,11,November,5,2017
