time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-22T12:11:03.886Z,59.6079,-143.2885,11.9,2.1,ml,,,,0.98,ak,ak18488229,2018-02-22T12:17:57.376Z,"70km SW of Cape Yakataga, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-02-22T12:01:47.650Z,19.385334,-155.2398376,0.47,2.2,ml,33,56,0.01083,0.24,hv,hv70043012,2018-02-22T12:07:25.160Z,"5km S of Volcano, Hawaii",earthquake,0.3,0.21,0.2,11,automatic,hv,hv
2018-02-22T11:57:11.153Z,60.991,-146.9473,20.1,1.5,ml,,,,0.72,ak,ak18488225,2018-02-22T12:02:45.411Z,"35km WSW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-22T11:46:05.860Z,38.7965012,-122.7643356,0.59,0.8,md,9,112,0.02105,0.03,nc,nc72973941,2018-02-22T12:01:03.815Z,"2km NNW of The Geysers, CA",earthquake,0.4,1.32,0.14,3,automatic,nc,nc
2018-02-22T11:41:11.530Z,33.8508333,-117.7271667,10.81,0.88,ml,24,56,0.05635,0.17,ci,ci38113560,2018-02-22T11:44:55.863Z,"9km ENE of Villa Park, CA",earthquake,0.31,0.68,0.199,19,automatic,ci,ci
2018-02-22T11:19:04.360Z,12.1274,-88.1997,10,4.7,mb,,166,1.257,0.78,us,us2000d6bt,2018-02-22T12:36:12.040Z,"106km SW of Jiquilillo, Nicaragua",earthquake,6.9,1.9,0.041,177,reviewed,us,us
2018-02-22T11:14:07.130Z,38.8250008,-122.8044968,2.28,0.88,md,13,61,0.004642,0.02,nc,nc72973911,2018-02-22T11:29:03.756Z,"7km NW of The Geysers, CA",earthquake,0.34,0.66,0.12,3,automatic,nc,nc
2018-02-22T10:52:47.160Z,37.6285019,-118.8625031,8.17,1.22,md,17,95,0.0095,0.02,nc,nc72973896,2018-02-22T11:07:02.720Z,"10km E of Mammoth Lakes, CA",earthquake,0.5,0.6,0.27,14,automatic,nc,nc
2018-02-22T10:44:21.439Z,59.2793,-145.8876,50.1,2.1,ml,,,,0.7,ak,ak18487498,2018-02-22T10:47:52.582Z,"30km SE of Middleton Island, Alaska",earthquake,,6.7,,,automatic,ak,ak
2018-02-22T10:28:37.020Z,33.5123333,-116.7871667,6.35,0.62,ml,27,38,0.06735,0.13,ci,ci38113544,2018-02-22T10:32:12.341Z,"11km NE of Aguanga, CA",earthquake,0.17,0.59,0.139,21,automatic,ci,ci
2018-02-22T10:19:53.860Z,39.765667,-122.2746658,24.56,1.52,md,5,175,0.4104,0.25,nc,nc72973876,2018-02-22T12:39:02.894Z,"7km WNW of Orland, CA",earthquake,3.19,9.51,0.03,3,automatic,nc,nc
2018-02-22T10:17:41.441Z,59.9306,-152.2614,77.9,1.4,ml,,,,0.09,ak,ak18487487,2018-02-22T10:27:50.163Z,"29km NW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-02-22T10:17:37.980Z,32.9193,-100.8634,3.65,2.9,mb_lg,,44,0.044,0.28,us,us2000d6bk,2018-02-22T12:34:29.411Z,"22km NNE of Snyder, Texas",earthquake,5.1,2,0.058,103,reviewed,us,us
2018-02-22T10:15:02.670Z,40.9181671,-122.6318359,38.17,2.58,md,6,206,0.1499,0.09,nc,nc72973871,2018-02-22T12:11:02.834Z,"24km N of French Gulch, CA",earthquake,2.53,2.12,0.15,3,automatic,nc,nc
