,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,Somalia,2011-01-01,1st,113.4,10.0,9.8,9.5,9.3,8.4,8.2,9.8,9.4,9.7,9.7,10.0,9.7
1,Chad,2011-01-01,2nd,110.3,9.2,9.8,9.4,8.5,8.9,8.0,9.8,9.6,9.3,9.2,9.5,9.1
2,Sudan,2011-01-01,3rd,108.7,9.6,9.9,9.9,6.4,9.1,8.2,9.4,9.0,9.7,8.5,9.6,9.5
3,Congo Democratic Republic,2011-01-01,4th,108.2,9.6,8.8,8.3,8.7,9.2,7.7,9.0,8.9,9.2,9.7,9.6,9.5
4,Haiti,2011-01-01,5th,108.0,8.4,8.8,7.3,9.2,8.8,8.9,9.4,10.0,8.0,10.0,9.2,10.0
5,Zimbabwe,2011-01-01,6th,107.9,9.0,9.6,9.0,9.0,9.2,9.3,9.3,9.0,9.2,9.3,8.2,7.8
6,Afghanistan,2011-01-01,7th,107.5,9.8,9.4,9.3,8.0,8.4,7.2,9.7,8.5,8.8,9.1,9.3,10.0
7,Central African Republic,2011-01-01,8th,105.0,9.7,9.1,8.6,8.1,8.9,5.8,9.1,9.0,8.6,8.9,9.6,9.6
8,Iraq,2011-01-01,9th,104.8,9.5,9.6,9.0,7.0,9.0,8.9,8.7,8.0,8.6,8.3,9.0,9.3
9,Cote d'Ivoire,2011-01-01,10th,102.8,8.6,9.1,8.7,7.7,8.0,7.9,9.5,8.4,8.6,8.1,8.5,9.7
10,Guinea,2011-01-01,11th,102.5,9.3,9.2,7.9,8.6,8.4,8.3,9.4,8.7,9.2,8.2,7.7,7.6
11,Pakistan,2011-01-01,12th,102.3,9.4,9.1,9.3,6.6,8.5,7.5,8.6,7.3,8.7,8.8,9.2,9.3
12,Yemen,2011-01-01,13th,100.3,9.3,9.3,8.6,7.7,8.3,6.9,8.6,8.7,7.7,8.7,8.4,8.2
13,Nigeria,2011-01-01,14th,99.9,9.1,9.5,9.6,7.3,9.0,7.7,9.0,9.0,8.6,8.3,6.0,6.9
14,Niger,2011-01-01,15th,99.1,8.0,8.6,7.8,8.9,7.9,6.2,8.9,9.5,8.2,9.8,6.6,8.7
15,Kenya,2011-01-01,16th,98.7,7.9,8.8,8.7,7.0,8.5,7.6,8.9,7.8,7.7,8.8,8.5,8.5
16,Burundi,2011-01-01,17th,98.6,7.7,8.2,8.2,8.5,8.1,6.2,8.2,8.8,8.0,9.1,8.7,9.0
17,Guinea Bissau,2011-01-01,18th,98.3,9.3,9.2,5.4,8.7,8.1,7.4,9.2,8.4,7.8,8.7,7.2,8.8
18,Myanmar,2011-01-01,18th,98.3,8.5,8.3,8.7,7.9,9.0,6.0,9.7,8.3,9.0,8.2,8.0,6.7
19,Ethiopia,2011-01-01,20th,98.2,7.9,9.0,8.4,7.7,8.2,7.2,7.5,8.4,8.5,9.1,8.2,8.1
