,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,4,April,385,2017
1,GRC,Greece,ALB,Albania,4,April,185,2017
2,GRC,Greece,MDA,Rep. of Moldova,4,April,5,2017
3,GRC,Greece,MLI,Mali,4,April,5,2017
4,GRC,Greece,ETH,Ethiopia,4,April,15,2017
5,GRC,Greece,MAR,Morocco,4,April,20,2017
6,GRC,Greece,DZA,Algeria,4,April,35,2017
7,GRC,Greece,PSE,Palestinian,4,April,40,2017
8,GRC,Greece,EGY,Egypt,4,April,45,2017
9,GRC,Greece,GEO,Georgia,4,April,55,2017
10,GRC,Greece,GHA,Ghana,4,April,5,2017
11,GRC,Greece,GIN,Guinea,4,April,10,2017
12,GRC,Greece,HTI,Haiti,4,April,5,2017
13,GRC,Greece,SYR,Syrian Arab Rep.,4,April,570,2017
14,GRC,Greece,BGD,Bangladesh,4,April,75,2017
15,GRC,Greece,IND,India,4,April,5,2017
16,GRC,Greece,IRN,Iran (Islamic Rep. of),4,April,80,2017
17,GRC,Greece,TUN,Tunisia,4,April,5,2017
18,GRC,Greece,TUR,Turkey,4,April,65,2017
19,GRC,Greece,CHN,China,4,April,15,2017
20,GRC,Greece,NGA,Nigeria,4,April,5,2017
21,GRC,Greece,PAK,Pakistan,4,April,515,2017
22,GRC,Greece,RUS,Russian Federation,4,April,5,2017
23,GRC,Greece,CMR,Cameroon,4,April,30,2017
24,GRC,Greece,COG,Congo,4,April,10,2017
25,GRC,Greece,COD,Dem. Rep. of the Congo,4,April,55,2017
26,GRC,Greece,IRQ,Iraq,4,April,235,2017
27,GRC,Greece,DOM,Dominican Rep.,4,April,5,2017
28,GRC,Greece,KWT,Kuwait,4,April,10,2017
29,GRC,Greece,UKR,Ukraine,4,April,10,2017
30,GRC,Greece,ERI,Eritrea,4,April,5,2017
31,GRC,Greece,YEM,Yemen,4,April,20,2017
32,GRC,Greece,SOM,Somalia,4,April,5,2017
33,GRC,Greece,STA,Stateless,4,April,35,2017
34,GRC,Greece,SDN,Sudan,4,April,5,2017
