,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,8,August,670,2017
1,GRC,Greece,ALB,Albania,8,August,250,2017
2,GRC,Greece,LBY,Libya,8,August,5,2017
3,GRC,Greece,LBN,Lebanon,8,August,5,2017
4,GRC,Greece,LKA,Sri Lanka,8,August,5,2017
5,GRC,Greece,MLI,Mali,8,August,5,2017
6,GRC,Greece,ETH,Ethiopia,8,August,20,2017
7,GRC,Greece,MAR,Morocco,8,August,45,2017
8,GRC,Greece,DZA,Algeria,8,August,30,2017
9,GRC,Greece,PSE,Palestinian,8,August,75,2017
10,GRC,Greece,EGY,Egypt,8,August,105,2017
11,GRC,Greece,GEO,Georgia,8,August,90,2017
12,GRC,Greece,GHA,Ghana,8,August,5,2017
13,GRC,Greece,GIN,Guinea,8,August,10,2017
14,GRC,Greece,CIV,Côte d'Ivoire,8,August,5,2017
15,GRC,Greece,SYR,Syrian Arab Rep.,8,August,1400,2017
16,GRC,Greece,BGD,Bangladesh,8,August,155,2017
17,GRC,Greece,MMR,Myanmar,8,August,5,2017
18,GRC,Greece,NPL,Nepal,8,August,5,2017
19,GRC,Greece,IND,India,8,August,10,2017
20,GRC,Greece,IRN,Iran (Islamic Rep. of),8,August,80,2017
21,GRC,Greece,TUN,Tunisia,8,August,10,2017
22,GRC,Greece,TUR,Turkey,8,August,270,2017
23,GRC,Greece,CHN,China,8,August,35,2017
24,GRC,Greece,NGA,Nigeria,8,August,10,2017
25,GRC,Greece,PAK,Pakistan,8,August,790,2017
26,GRC,Greece,RUS,Russian Federation,8,August,5,2017
27,GRC,Greece,CMR,Cameroon,8,August,45,2017
28,GRC,Greece,COG,Congo,8,August,5,2017
29,GRC,Greece,COD,Dem. Rep. of the Congo,8,August,30,2017
30,GRC,Greece,IRQ,Iraq,8,August,520,2017
31,GRC,Greece,JOR,Jordan,8,August,5,2017
32,GRC,Greece,DOM,Dominican Rep.,8,August,5,2017
33,GRC,Greece,KWT,Kuwait,8,August,50,2017
34,GRC,Greece,UKR,Ukraine,8,August,5,2017
35,GRC,Greece,ERI,Eritrea,8,August,15,2017
36,GRC,Greece,YEM,Yemen,8,August,15,2017
37,GRC,Greece,SEN,Senegal,8,August,5,2017
38,GRC,Greece,SOM,Somalia,8,August,15,2017
39,GRC,Greece,STA,Stateless,8,August,75,2017
40,GRC,Greece,SDN,Sudan,8,August,10,2017
