,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,12,December,540,2017
1,GRC,Greece,ALB,Albania,12,December,200,2017
2,GRC,Greece,LBY,Libya,12,December,5,2017
3,GRC,Greece,LBN,Lebanon,12,December,5,2017
4,GRC,Greece,LKA,Sri Lanka,12,December,5,2017
5,GRC,Greece,MDA,Rep. of Moldova,12,December,5,2017
6,GRC,Greece,MLI,Mali,12,December,5,2017
7,GRC,Greece,ETH,Ethiopia,12,December,25,2017
8,GRC,Greece,MAR,Morocco,12,December,25,2017
9,GRC,Greece,DZA,Algeria,12,December,55,2017
10,GRC,Greece,PSE,Palestinian,12,December,50,2017
11,GRC,Greece,EGY,Egypt,12,December,25,2017
12,GRC,Greece,GEO,Georgia,12,December,75,2017
13,GRC,Greece,ARM,Armenia,12,December,10,2017
14,GRC,Greece,GHA,Ghana,12,December,15,2017
15,GRC,Greece,GIN,Guinea,12,December,15,2017
16,GRC,Greece,CIV,Côte d'Ivoire,12,December,5,2017
17,GRC,Greece,SYR,Syrian Arab Rep.,12,December,975,2017
18,GRC,Greece,BGD,Bangladesh,12,December,75,2017
19,GRC,Greece,BFA,Burkina Faso,12,December,5,2017
20,GRC,Greece,MMR,Myanmar,12,December,5,2017
21,GRC,Greece,NPL,Nepal,12,December,15,2017
22,GRC,Greece,IND,India,12,December,5,2017
23,GRC,Greece,IDN,Indonesia,12,December,5,2017
24,GRC,Greece,IRN,Iran (Islamic Rep. of),12,December,70,2017
25,GRC,Greece,TUN,Tunisia,12,December,5,2017
26,GRC,Greece,TUR,Turkey,12,December,80,2017
27,GRC,Greece,CHN,China,12,December,25,2017
28,GRC,Greece,NGA,Nigeria,12,December,5,2017
29,GRC,Greece,PAK,Pakistan,12,December,620,2017
30,GRC,Greece,CMR,Cameroon,12,December,40,2017
31,GRC,Greece,COD,Dem. Rep. of the Congo,12,December,100,2017
32,GRC,Greece,IRQ,Iraq,12,December,620,2017
33,GRC,Greece,DOM,Dominican Rep.,12,December,5,2017
34,GRC,Greece,KWT,Kuwait,12,December,40,2017
35,GRC,Greece,ERI,Eritrea,12,December,25,2017
36,GRC,Greece,SSD,South Sudan,12,December,5,2017
37,GRC,Greece,YEM,Yemen,12,December,10,2017
38,GRC,Greece,ZWE,Zimbabwe,12,December,5,2017
39,GRC,Greece,SLE,Sierra Leone,12,December,5,2017
40,GRC,Greece,SOM,Somalia,12,December,20,2017
41,GRC,Greece,VNM,Viet Nam,12,December,5,2017
42,GRC,Greece,STA,Stateless,12,December,15,2017
