,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,2,February,600,2017
1,GRC,Greece,ALB,Albania,2,February,100,2017
2,GRC,Greece,LBY,Libya,2,February,5,2017
3,GRC,Greece,LBN,Lebanon,2,February,5,2017
4,GRC,Greece,LKA,Sri Lanka,2,February,5,2017
5,GRC,Greece,MRT,Mauritania,2,February,5,2017
6,GRC,Greece,MLI,Mali,2,February,20,2017
7,GRC,Greece,ETH,Ethiopia,2,February,20,2017
8,GRC,Greece,MAR,Morocco,2,February,30,2017
9,GRC,Greece,GMB,Gambia,2,February,5,2017
10,GRC,Greece,DZA,Algeria,2,February,110,2017
11,GRC,Greece,AGO,Angola,2,February,10,2017
12,GRC,Greece,PSE,Palestinian,2,February,125,2017
13,GRC,Greece,EGY,Egypt,2,February,85,2017
14,GRC,Greece,GEO,Georgia,2,February,70,2017
15,GRC,Greece,ARM,Armenia,2,February,5,2017
16,GRC,Greece,GHA,Ghana,2,February,5,2017
17,GRC,Greece,GIN,Guinea,2,February,10,2017
18,GRC,Greece,HTI,Haiti,2,February,10,2017
19,GRC,Greece,CIV,Côte d'Ivoire,2,February,5,2017
20,GRC,Greece,SYR,Syrian Arab Rep.,2,February,1805,2017
21,GRC,Greece,BGD,Bangladesh,2,February,95,2017
22,GRC,Greece,NPL,Nepal,2,February,35,2017
23,GRC,Greece,IND,India,2,February,5,2017
24,GRC,Greece,IDN,Indonesia,2,February,5,2017
25,GRC,Greece,IRN,Iran (Islamic Rep. of),2,February,135,2017
26,GRC,Greece,TUN,Tunisia,2,February,5,2017
27,GRC,Greece,TUR,Turkey,2,February,45,2017
28,GRC,Greece,CHN,China,2,February,20,2017
29,GRC,Greece,NGA,Nigeria,2,February,15,2017
30,GRC,Greece,PAK,Pakistan,2,February,665,2017
31,GRC,Greece,CMR,Cameroon,2,February,25,2017
32,GRC,Greece,COG,Congo,2,February,20,2017
33,GRC,Greece,COD,Dem. Rep. of the Congo,2,February,205,2017
34,GRC,Greece,COM,Comoros,2,February,5,2017
35,GRC,Greece,IRQ,Iraq,2,February,960,2017
36,GRC,Greece,JOR,Jordan,2,February,5,2017
37,GRC,Greece,DOM,Dominican Rep.,2,February,10,2017
38,GRC,Greece,ERI,Eritrea,2,February,55,2017
39,GRC,Greece,KWT,Kuwait,2,February,65,2017
40,GRC,Greece,UKR,Ukraine,2,February,5,2017
41,GRC,Greece,ZWE,Zimbabwe,2,February,15,2017
42,GRC,Greece,SLE,Sierra Leone,2,February,20,2017
43,GRC,Greece,SOM,Somalia,2,February,5,2017
44,GRC,Greece,STA,Stateless,2,February,35,2017
45,GRC,Greece,SDN,Sudan,2,February,20,2017
