,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,1,January,1195,2017
1,GRC,Greece,ALB,Albania,1,January,105,2017
2,GRC,Greece,LBN,Lebanon,1,January,20,2017
3,GRC,Greece,LKA,Sri Lanka,1,January,5,2017
4,GRC,Greece,MLI,Mali,1,January,5,2017
5,GRC,Greece,ETH,Ethiopia,1,January,20,2017
6,GRC,Greece,MAR,Morocco,1,January,45,2017
7,GRC,Greece,GMB,Gambia,1,January,5,2017
8,GRC,Greece,DZA,Algeria,1,January,80,2017
9,GRC,Greece,PSE,Palestinian,1,January,415,2017
10,GRC,Greece,EGY,Egypt,1,January,55,2017
11,GRC,Greece,GEO,Georgia,1,January,65,2017
12,GRC,Greece,ARM,Armenia,1,January,5,2017
13,GRC,Greece,GHA,Ghana,1,January,5,2017
14,GRC,Greece,HTI,Haiti,1,January,5,2017
15,GRC,Greece,CIV,Côte d'Ivoire,1,January,5,2017
16,GRC,Greece,SYR,Syrian Arab Rep.,1,January,2285,2017
17,GRC,Greece,BGD,Bangladesh,1,January,95,2017
18,GRC,Greece,MMR,Myanmar,1,January,15,2017
19,GRC,Greece,NPL,Nepal,1,January,10,2017
20,GRC,Greece,NER,Niger,1,January,5,2017
21,GRC,Greece,IND,India,1,January,5,2017
22,GRC,Greece,IRN,Iran (Islamic Rep. of),1,January,130,2017
23,GRC,Greece,TUN,Tunisia,1,January,5,2017
24,GRC,Greece,TUR,Turkey,1,January,50,2017
25,GRC,Greece,CHN,China,1,January,10,2017
26,GRC,Greece,NGA,Nigeria,1,January,10,2017
27,GRC,Greece,PAK,Pakistan,1,January,610,2017
28,GRC,Greece,CMR,Cameroon,1,January,10,2017
29,GRC,Greece,COG,Congo,1,January,20,2017
30,GRC,Greece,COD,Dem. Rep. of the Congo,1,January,60,2017
31,GRC,Greece,IRQ,Iraq,1,January,720,2017
32,GRC,Greece,ERI,Eritrea,1,January,90,2017
33,GRC,Greece,KWT,Kuwait,1,January,20,2017
34,GRC,Greece,UKR,Ukraine,1,January,5,2017
35,GRC,Greece,SAU,Saudi Arabia,1,January,5,2017
36,GRC,Greece,SEN,Senegal,1,January,5,2017
37,GRC,Greece,SLE,Sierra Leone,1,January,5,2017
38,GRC,Greece,SOM,Somalia,1,January,5,2017
39,GRC,Greece,STA,Stateless,1,January,50,2017
40,GRC,Greece,SDN,Sudan,1,January,5,2017
