,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,7,July,495,2017
1,GRC,Greece,ALB,Albania,7,July,215,2017
2,GRC,Greece,LKA,Sri Lanka,7,July,5,2017
3,GRC,Greece,MLI,Mali,7,July,5,2017
4,GRC,Greece,ETH,Ethiopia,7,July,5,2017
5,GRC,Greece,MAR,Morocco,7,July,35,2017
6,GRC,Greece,DZA,Algeria,7,July,45,2017
7,GRC,Greece,PSE,Palestinian,7,July,110,2017
8,GRC,Greece,EGY,Egypt,7,July,55,2017
9,GRC,Greece,GEO,Georgia,7,July,80,2017
10,GRC,Greece,GHA,Ghana,7,July,5,2017
11,GRC,Greece,GIN,Guinea,7,July,5,2017
12,GRC,Greece,SYR,Syrian Arab Rep.,7,July,1045,2017
13,GRC,Greece,BGD,Bangladesh,7,July,120,2017
14,GRC,Greece,MMR,Myanmar,7,July,5,2017
15,GRC,Greece,NPL,Nepal,7,July,5,2017
16,GRC,Greece,IND,India,7,July,10,2017
17,GRC,Greece,IRN,Iran (Islamic Rep. of),7,July,115,2017
18,GRC,Greece,TUN,Tunisia,7,July,5,2017
19,GRC,Greece,TUR,Turkey,7,July,140,2017
20,GRC,Greece,CHN,China,7,July,15,2017
21,GRC,Greece,NGA,Nigeria,7,July,15,2017
22,GRC,Greece,PAK,Pakistan,7,July,765,2017
23,GRC,Greece,RUS,Russian Federation,7,July,5,2017
24,GRC,Greece,CMR,Cameroon,7,July,20,2017
25,GRC,Greece,COD,Dem. Rep. of the Congo,7,July,35,2017
26,GRC,Greece,IRQ,Iraq,7,July,440,2017
27,GRC,Greece,KWT,Kuwait,7,July,10,2017
28,GRC,Greece,UKR,Ukraine,7,July,10,2017
29,GRC,Greece,ERI,Eritrea,7,July,5,2017
30,GRC,Greece,YEM,Yemen,7,July,15,2017
31,GRC,Greece,SLE,Sierra Leone,7,July,5,2017
32,GRC,Greece,SOM,Somalia,7,July,5,2017
33,GRC,Greece,STA,Stateless,7,July,95,2017
34,GRC,Greece,SDN,Sudan,7,July,5,2017
35,GRC,Greece,VAR,Various/unknown,7,July,15,2017
