,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,6,June,500,2017
1,GRC,Greece,ALB,Albania,6,June,235,2017
2,GRC,Greece,LBN,Lebanon,6,June,5,2017
3,GRC,Greece,LKA,Sri Lanka,6,June,5,2017
4,GRC,Greece,MDA,Rep. of Moldova,6,June,5,2017
5,GRC,Greece,MLI,Mali,6,June,10,2017
6,GRC,Greece,ETH,Ethiopia,6,June,15,2017
7,GRC,Greece,MAR,Morocco,6,June,30,2017
8,GRC,Greece,DZA,Algeria,6,June,75,2017
9,GRC,Greece,PSE,Palestinian,6,June,65,2017
10,GRC,Greece,EGY,Egypt,6,June,35,2017
11,GRC,Greece,GEO,Georgia,6,June,95,2017
12,GRC,Greece,ARM,Armenia,6,June,5,2017
13,GRC,Greece,GHA,Ghana,6,June,10,2017
14,GRC,Greece,BDI,Burundi,6,June,5,2017
15,GRC,Greece,GIN,Guinea,6,June,25,2017
16,GRC,Greece,CIV,Côte d'Ivoire,6,June,5,2017
17,GRC,Greece,SYR,Syrian Arab Rep.,6,June,1015,2017
18,GRC,Greece,BGD,Bangladesh,6,June,105,2017
19,GRC,Greece,BFA,Burkina Faso,6,June,5,2017
20,GRC,Greece,IND,India,6,June,20,2017
21,GRC,Greece,IDN,Indonesia,6,June,5,2017
22,GRC,Greece,IRN,Iran (Islamic Rep. of),6,June,140,2017
23,GRC,Greece,TUN,Tunisia,6,June,5,2017
24,GRC,Greece,TUR,Turkey,6,June,90,2017
25,GRC,Greece,CHN,China,6,June,20,2017
26,GRC,Greece,NGA,Nigeria,6,June,15,2017
27,GRC,Greece,PAK,Pakistan,6,June,640,2017
28,GRC,Greece,RUS,Russian Federation,6,June,5,2017
29,GRC,Greece,CMR,Cameroon,6,June,40,2017
30,GRC,Greece,COG,Congo,6,June,10,2017
31,GRC,Greece,COD,Dem. Rep. of the Congo,6,June,205,2017
32,GRC,Greece,IRQ,Iraq,6,June,370,2017
33,GRC,Greece,DOM,Dominican Rep.,6,June,10,2017
34,GRC,Greece,KWT,Kuwait,6,June,35,2017
35,GRC,Greece,UKR,Ukraine,6,June,5,2017
36,GRC,Greece,ERI,Eritrea,6,June,15,2017
37,GRC,Greece,VEN,Venezuela (Bolivarian Republic of),6,June,5,2017
38,GRC,Greece,YEM,Yemen,6,June,15,2017
39,GRC,Greece,SOM,Somalia,6,June,15,2017
40,GRC,Greece,STA,Stateless,6,June,95,2017
41,GRC,Greece,SDN,Sudan,6,June,5,2017
42,GRC,Greece,VAR,Various/unknown,6,June,5,2017
