,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,3,March,585,2017
1,GRC,Greece,ALB,Albania,3,March,120,2017
2,GRC,Greece,LBN,Lebanon,3,March,5,2017
3,GRC,Greece,LKA,Sri Lanka,3,March,5,2017
4,GRC,Greece,MDA,Rep. of Moldova,3,March,5,2017
5,GRC,Greece,MLI,Mali,3,March,10,2017
6,GRC,Greece,ETH,Ethiopia,3,March,40,2017
7,GRC,Greece,MAR,Morocco,3,March,50,2017
8,GRC,Greece,DZA,Algeria,3,March,115,2017
9,GRC,Greece,PSE,Palestinian,3,March,95,2017
10,GRC,Greece,EGY,Egypt,3,March,120,2017
11,GRC,Greece,GEO,Georgia,3,March,75,2017
12,GRC,Greece,ARM,Armenia,3,March,5,2017
13,GRC,Greece,GHA,Ghana,3,March,10,2017
14,GRC,Greece,GIN,Guinea,3,March,30,2017
15,GRC,Greece,HTI,Haiti,3,March,5,2017
16,GRC,Greece,CIV,Côte d'Ivoire,3,March,10,2017
17,GRC,Greece,SYR,Syrian Arab Rep.,3,March,1280,2017
18,GRC,Greece,BGD,Bangladesh,3,March,90,2017
19,GRC,Greece,MMR,Myanmar,3,March,5,2017
20,GRC,Greece,NER,Niger,3,March,5,2017
21,GRC,Greece,IND,India,3,March,10,2017
22,GRC,Greece,IRN,Iran (Islamic Rep. of),3,March,170,2017
23,GRC,Greece,TUN,Tunisia,3,March,20,2017
24,GRC,Greece,TUR,Turkey,3,March,80,2017
25,GRC,Greece,CHN,China,3,March,15,2017
26,GRC,Greece,UGA,Uganda,3,March,5,2017
27,GRC,Greece,NGA,Nigeria,3,March,10,2017
28,GRC,Greece,PAK,Pakistan,3,March,790,2017
29,GRC,Greece,CMR,Cameroon,3,March,65,2017
30,GRC,Greece,COG,Congo,3,March,15,2017
31,GRC,Greece,COD,Dem. Rep. of the Congo,3,March,175,2017
32,GRC,Greece,IRQ,Iraq,3,March,500,2017
33,GRC,Greece,DOM,Dominican Rep.,3,March,20,2017
34,GRC,Greece,ERI,Eritrea,3,March,45,2017
35,GRC,Greece,KWT,Kuwait,3,March,50,2017
36,GRC,Greece,UKR,Ukraine,3,March,5,2017
37,GRC,Greece,YEM,Yemen,3,March,5,2017
38,GRC,Greece,SLE,Sierra Leone,3,March,5,2017
39,GRC,Greece,SOM,Somalia,3,March,10,2017
40,GRC,Greece,STA,Stateless,3,March,70,2017
41,GRC,Greece,SDN,Sudan,3,March,5,2017
42,GRC,Greece,VAR,Various/unknown,3,March,15,2017
