,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,5,May,550,2017
1,GRC,Greece,ALB,Albania,5,May,240,2017
2,GRC,Greece,LBN,Lebanon,5,May,10,2017
3,GRC,Greece,LKA,Sri Lanka,5,May,5,2017
4,GRC,Greece,MDA,Rep. of Moldova,5,May,5,2017
5,GRC,Greece,MLI,Mali,5,May,5,2017
6,GRC,Greece,ETH,Ethiopia,5,May,30,2017
7,GRC,Greece,MAR,Morocco,5,May,35,2017
8,GRC,Greece,DZA,Algeria,5,May,75,2017
9,GRC,Greece,PSE,Palestinian,5,May,45,2017
10,GRC,Greece,EGY,Egypt,5,May,75,2017
11,GRC,Greece,GEO,Georgia,5,May,95,2017
12,GRC,Greece,ARM,Armenia,5,May,10,2017
13,GRC,Greece,GHA,Ghana,5,May,5,2017
14,GRC,Greece,GIN,Guinea,5,May,10,2017
15,GRC,Greece,CIV,Côte d'Ivoire,5,May,5,2017
16,GRC,Greece,SYR,Syrian Arab Rep.,5,May,725,2017
17,GRC,Greece,BGD,Bangladesh,5,May,95,2017
18,GRC,Greece,IND,India,5,May,20,2017
19,GRC,Greece,IRN,Iran (Islamic Rep. of),5,May,95,2017
20,GRC,Greece,TUN,Tunisia,5,May,5,2017
21,GRC,Greece,TUR,Turkey,5,May,110,2017
22,GRC,Greece,CHN,China,5,May,25,2017
23,GRC,Greece,NGA,Nigeria,5,May,20,2017
24,GRC,Greece,PAK,Pakistan,5,May,690,2017
25,GRC,Greece,CMR,Cameroon,5,May,40,2017
26,GRC,Greece,COG,Congo,5,May,10,2017
27,GRC,Greece,COD,Dem. Rep. of the Congo,5,May,140,2017
28,GRC,Greece,IRQ,Iraq,5,May,480,2017
29,GRC,Greece,DOM,Dominican Rep.,5,May,5,2017
30,GRC,Greece,KWT,Kuwait,5,May,30,2017
31,GRC,Greece,UKR,Ukraine,5,May,10,2017
32,GRC,Greece,ERI,Eritrea,5,May,15,2017
33,GRC,Greece,VEN,Venezuela (Bolivarian Republic of),5,May,5,2017
34,GRC,Greece,YEM,Yemen,5,May,20,2017
35,GRC,Greece,SOM,Somalia,5,May,15,2017
36,GRC,Greece,STA,Stateless,5,May,130,2017
37,GRC,Greece,SDN,Sudan,5,May,5,2017
