,country_of_asylum,country_of_asylum_en,country_of_origin,country_of_origin_en,month,month_en,value,year
0,GRC,Greece,AFG,Afghanistan,9,September,640,2017
1,GRC,Greece,ALB,Albania,9,September,240,2017
2,GRC,Greece,LBN,Lebanon,9,September,10,2017
3,GRC,Greece,LKA,Sri Lanka,9,September,10,2017
4,GRC,Greece,MDA,Rep. of Moldova,9,September,5,2017
5,GRC,Greece,ETH,Ethiopia,9,September,35,2017
6,GRC,Greece,MAR,Morocco,9,September,30,2017
7,GRC,Greece,DZA,Algeria,9,September,35,2017
8,GRC,Greece,PSE,Palestinian,9,September,125,2017
9,GRC,Greece,EGY,Egypt,9,September,85,2017
10,GRC,Greece,GEO,Georgia,9,September,100,2017
11,GRC,Greece,ARM,Armenia,9,September,10,2017
12,GRC,Greece,BDI,Burundi,9,September,5,2017
13,GRC,Greece,GIN,Guinea,9,September,5,2017
14,GRC,Greece,CIV,Côte d'Ivoire,9,September,5,2017
15,GRC,Greece,SYR,Syrian Arab Rep.,9,September,1775,2017
16,GRC,Greece,BGD,Bangladesh,9,September,110,2017
17,GRC,Greece,BFA,Burkina Faso,9,September,5,2017
18,GRC,Greece,BIH,Bosnia and Herzegovina,9,September,5,2017
19,GRC,Greece,MMR,Myanmar,9,September,10,2017
20,GRC,Greece,NPL,Nepal,9,September,10,2017
21,GRC,Greece,TGO,Togo,9,September,5,2017
22,GRC,Greece,IND,India,9,September,40,2017
23,GRC,Greece,IDN,Indonesia,9,September,5,2017
24,GRC,Greece,IRN,Iran (Islamic Rep. of),9,September,95,2017
25,GRC,Greece,TUN,Tunisia,9,September,5,2017
26,GRC,Greece,TUR,Turkey,9,September,295,2017
27,GRC,Greece,CHN,China,9,September,35,2017
28,GRC,Greece,NGA,Nigeria,9,September,10,2017
29,GRC,Greece,PAK,Pakistan,9,September,805,2017
30,GRC,Greece,CMR,Cameroon,9,September,40,2017
31,GRC,Greece,COD,Dem. Rep. of the Congo,9,September,25,2017
32,GRC,Greece,COM,Comoros,9,September,5,2017
33,GRC,Greece,IRQ,Iraq,9,September,960,2017
34,GRC,Greece,JOR,Jordan,9,September,5,2017
35,GRC,Greece,DOM,Dominican Rep.,9,September,5,2017
36,GRC,Greece,KWT,Kuwait,9,September,15,2017
37,GRC,Greece,UKR,Ukraine,9,September,5,2017
38,GRC,Greece,ERI,Eritrea,9,September,10,2017
39,GRC,Greece,VEN,Venezuela (Bolivarian Republic of),9,September,5,2017
40,GRC,Greece,YEM,Yemen,9,September,25,2017
41,GRC,Greece,SEN,Senegal,9,September,5,2017
42,GRC,Greece,SOM,Somalia,9,September,15,2017
43,GRC,Greece,STA,Stateless,9,September,40,2017
44,GRC,Greece,SDN,Sudan,9,September,5,2017
45,GRC,Greece,VAR,Various/unknown,9,September,5,2017
