,country_of_origin_en,country_of_origin_enApril.csv,monthApril.csv,month_enApril.csv,valueApril.csv,country_of_origin_enAugust.csv,monthAugust.csv,month_enAugust.csv,valueAugust.csv,country_of_origin_enDecember.csv,monthDecember.csv,month_enDecember.csv,valueDecember.csv,country_of_origin_enFebruary.csv,monthFebruary.csv,month_enFebruary.csv,valueFebruary.csv,country_of_origin_enJanuary.csv,monthJanuary.csv,month_enJanuary.csv,valueJanuary.csv,country_of_origin_enJuly.csv,monthJuly.csv,month_enJuly.csv,valueJuly.csv,country_of_origin_enJune.csv,monthJune.csv,month_enJune.csv,valueJune.csv,country_of_origin_enMarch.csv,monthMarch.csv,month_enMarch.csv,valueMarch.csv,country_of_origin_enMay.csv,monthMay.csv,month_enMay.csv,valueMay.csv,country_of_origin_enNovember.csv,monthNovember.csv,month_enNovember.csv,valueNovember.csv,country_of_origin_enOctober.csv,monthOctober.csv,month_enOctober.csv,valueOctober.csv,country_of_origin_enSeptember.csv,monthSeptember.csv,month_enSeptember.csv,valueSeptember.csv,MK Val
0,Afghanistan,Afghanistan,4,April,385,Afghanistan,8.0,August,670.0,Afghanistan,12.0,December,540.0,Afghanistan,2.0,February,600.0,Afghanistan,1.0,January,1195.0,Afghanistan,7.0,July,495.0,Afghanistan,6.0,June,500.0,Afghanistan,3.0,March,585.0,Afghanistan,5.0,May,550.0,Afghanistan,11.0,November,660.0,Afghanistan,10.0,October,675.0,Afghanistan,9.0,September,640.0,no trend
1,Albania,Albania,4,April,185,Albania,8.0,August,250.0,Albania,12.0,December,200.0,Albania,2.0,February,100.0,Albania,1.0,January,105.0,Albania,7.0,July,215.0,Albania,6.0,June,235.0,Albania,3.0,March,120.0,Albania,5.0,May,240.0,Albania,11.0,November,230.0,Albania,10.0,October,225.0,Albania,9.0,September,240.0,no trend
4,Ethiopia,Ethiopia,4,April,15,Ethiopia,8.0,August,20.0,Ethiopia,12.0,December,25.0,Ethiopia,2.0,February,20.0,Ethiopia,1.0,January,20.0,Ethiopia,7.0,July,5.0,Ethiopia,6.0,June,15.0,Ethiopia,3.0,March,40.0,Ethiopia,5.0,May,30.0,Ethiopia,11.0,November,10.0,Ethiopia,10.0,October,10.0,Ethiopia,9.0,September,35.0,no trend
5,Morocco,Morocco,4,April,20,Morocco,8.0,August,45.0,Morocco,12.0,December,25.0,Morocco,2.0,February,30.0,Morocco,1.0,January,45.0,Morocco,7.0,July,35.0,Morocco,6.0,June,30.0,Morocco,3.0,March,50.0,Morocco,5.0,May,35.0,Morocco,11.0,November,50.0,Morocco,10.0,October,20.0,Morocco,9.0,September,30.0,no trend
6,Algeria,Algeria,4,April,35,Algeria,8.0,August,30.0,Algeria,12.0,December,55.0,Algeria,2.0,February,110.0,Algeria,1.0,January,80.0,Algeria,7.0,July,45.0,Algeria,6.0,June,75.0,Algeria,3.0,March,115.0,Algeria,5.0,May,75.0,Algeria,11.0,November,45.0,Algeria,10.0,October,50.0,Algeria,9.0,September,35.0,no trend
7,Palestinian,Palestinian,4,April,40,Palestinian,8.0,August,75.0,Palestinian,12.0,December,50.0,Palestinian,2.0,February,125.0,Palestinian,1.0,January,415.0,Palestinian,7.0,July,110.0,Palestinian,6.0,June,65.0,Palestinian,3.0,March,95.0,Palestinian,5.0,May,45.0,Palestinian,11.0,November,75.0,Palestinian,10.0,October,90.0,Palestinian,9.0,September,125.0,no trend
8,Egypt,Egypt,4,April,45,Egypt,8.0,August,105.0,Egypt,12.0,December,25.0,Egypt,2.0,February,85.0,Egypt,1.0,January,55.0,Egypt,7.0,July,55.0,Egypt,6.0,June,35.0,Egypt,3.0,March,120.0,Egypt,5.0,May,75.0,Egypt,11.0,November,60.0,Egypt,10.0,October,75.0,Egypt,9.0,September,85.0,no trend
9,Georgia,Georgia,4,April,55,Georgia,8.0,August,90.0,Georgia,12.0,December,75.0,Georgia,2.0,February,70.0,Georgia,1.0,January,65.0,Georgia,7.0,July,80.0,Georgia,6.0,June,95.0,Georgia,3.0,March,75.0,Georgia,5.0,May,95.0,Georgia,11.0,November,95.0,Georgia,10.0,October,95.0,Georgia,9.0,September,100.0,no trend
13,Syrian Arab Rep.,Syrian Arab Rep.,4,April,570,Syrian Arab Rep.,8.0,August,1400.0,Syrian Arab Rep.,12.0,December,975.0,Syrian Arab Rep.,2.0,February,1805.0,Syrian Arab Rep.,1.0,January,2285.0,Syrian Arab Rep.,7.0,July,1045.0,Syrian Arab Rep.,6.0,June,1015.0,Syrian Arab Rep.,3.0,March,1280.0,Syrian Arab Rep.,5.0,May,725.0,Syrian Arab Rep.,11.0,November,1455.0,Syrian Arab Rep.,10.0,October,2010.0,Syrian Arab Rep.,9.0,September,1775.0,no trend
14,Bangladesh,Bangladesh,4,April,75,Bangladesh,8.0,August,155.0,Bangladesh,12.0,December,75.0,Bangladesh,2.0,February,95.0,Bangladesh,1.0,January,95.0,Bangladesh,7.0,July,120.0,Bangladesh,6.0,June,105.0,Bangladesh,3.0,March,90.0,Bangladesh,5.0,May,95.0,Bangladesh,11.0,November,135.0,Bangladesh,10.0,October,110.0,Bangladesh,9.0,September,110.0,no trend
