Index,Crime,District,Neighborhood,ILEADSStreet,Longitude,Latitude
0,115400,1,1,MICHIGAN AVE,-90.24875893,38.56041837
1,65701,6,74,HORNSBY AVE / NEWBY ST,-90.2353888,38.71899216
2,121000,5,38,OLIVE ST,-90.23945786,38.64184985
3,43025,1,16,MERAMEC ST,-90.24788817,38.58302307
4,43026,2,15,CHIPPEWA ST,-90.25267325,38.58954116
5,91124,2,15,CHIPPEWA ST,-90.25267325,38.58954116
6,115400,3,33,S 14TH ST,-90.20506681,38.61717576
7,51322,5,52,THEODOSIA AVE,-90.26485825,38.66622693
8,121000,2,15,CHIPPEWA ST,-90.26986185,38.59108099
9,65701,6,74,N BROADWAY,-90.23000621,38.707719
10,115400,3,19,MICHIGAN AVE,-90.23727092,38.58871676
11,262100,4,77,N GRAND BLVD,-90.23139285,38.63968705
12,69702,1,4,ROSWELL AVE,-90.2680496,38.55798023
13,266400,6,76,PARK LN,-90.25242526,38.70724964
14,69702,5,50,ARLINGTON AVE,-90.26819005,38.67134096
15,121000,4,36,OLIVE ST,-90.20605997,38.63178656
16,65701,3,31,HICKORY ST,-90.22282889,38.62165934
17,266999,5,55,N KINGSHIGHWAY BLVD,-90.26015354,38.66421287
18,67701,6,69,SHREVE AVE,-90.24306203,38.67703288
19,67701,5,48,CATES AVE,-90.2949183,38.65823799
20,265321,6,68,POPE AVE,-90.22485581,38.68090986
21,115100,2,43,MANCHESTER AVE,-90.29709182,38.62080118
22,115400,3,25,S COMPTON AVE,-90.23449713,38.60516964
23,112010,5,46,KINGSBURY PL,-90.28525419,38.65130644
24,115100,2,29,S GRAND BLVD,-90.23855379,38.62287902
25,266400,3,30,VIRGINIA AVE,-90.23823147,38.59541351
26,115400,1,1,TENNESSEE AVE,-90.26813428,38.55219247
27,43025,1,17,NEBRASKA AVE,-90.23534135,38.57787171
28,266999,3,30,NEBRASKA AVE,-90.23072979,38.60007557
29,266999,3,30,NEBRASKA AVE,-90.23072979,38.60007557
30,43015,3,22,SALENA ST,-90.21777891,38.60062993
31,67701,3,18,ILLINOIS AVE,-90.22402753,38.58488591
32,117000,2,12,S KINGSHIGHWAY BLVD,-90.26723166,38.61962525
33,112010,5,38,LACLEDE AVE,-90.24594008,38.63736629
34,67701,4,36,WASHINGTON AVE,-90.2022933,38.63260904
35,265321,3,26,HAWTHORNE BLVD,-90.23079671,38.61007366
36,266999,3,18,KOSCIUSKO ST,-90.21702286,38.58704945
37,266999,3,18,KOSCIUSKO ST,-90.21871898,38.58596615
38,266999,3,24,GRAVOIS AVE,-90.22343227,38.60508635
39,266999,5,51,N KINGSHIGHWAY BLVD,-90.26230183,38.65870896
40,266999,3,18,KOSCIUSKO ST,-90.21643117,38.58742696
41,115200,5,38,LINDELL BLVD,-90.24275613,38.63985537
42,44021,6,56,LEXINGTON AVE,-90.22528065,38.66278518
43,103000,4,35,CLARK AVE,-90.19305105,38.62404536
44,41014,1,1,VIRGINIA AVE,-90.25032157,38.55999582
45,266999,3,16,OSAGE ST,-90.23992115,38.58434565
46,65701,4,59,NATURAL BRIDGE AVE / PRAIRIE A,-90.22272966,38.66377592
47,65701,4,59,NATURAL BRIDGE AVE / PRAIRIE A,-90.22272966,38.66377592
48,115400,5,38,WESTMORELAND PL,-90.26948804,38.64547432
49,51312,5,46,WASHINGTON AVE,-90.29725792,38.65404082
50,117000,2,12,S KINGSHIGHWAY BLVD,-90.26723166,38.61962525
51,72113,2,12,S KINGSHIGHWAY BLVD,-90.26723166,38.61962525
52,51322,5,46,MCPHERSON AVE,-90.29598607,38.6516936
53,69602,6,56,ASHLAND AVE,-90.22658174,38.66268937
54,266999,3,24,GRAVOIS AVE,-90.2280807,38.60282086
55,71013,3,19,S GRAND BLVD / GRAVOIS AVE,-90.24354403,38.59272876
56,67701,6,68,PENROSE ST,-90.22764754,38.67284071
57,182400,4,36,S JEFFERSON AVE,-90.21638356,38.62619663
58,51322,3,18,LEMP AVE,-90.21869362,38.59094173
59,121000,2,9,HAMPTON AVE,-90.29424821,38.59472084
60,103000,1,2,E DAVIS ST,-90.26114504,38.54238249
61,41013,5,50,HEBERT ST,-90.2664896,38.68112396
62,266999,3,24,GRAVOIS AVE,-90.2280807,38.60282086
63,266999,4,62,N 8TH ST,-90.18995645,38.63549591
64,117000,4,35,WASHINGTON AVE,-90.19202164,38.63041867
65,182999,1,16,DELOR ST,-90.25438079,38.57469496
66,266999,3,24,GRAVOIS AVE,-90.2280807,38.60282086
67,67701,5,38,LINDELL BLVD,-90.26007369,38.64342616
68,266999,4,62,OFALLON ST,-90.18813673,38.63726219
69,65701,1,16,NEOSHO ST / S SPRING AVE,-90.2532108,38.57865957
70,65701,1,16,NEOSHO ST / S SPRING AVE,-90.2532108,38.57865957
71,64601,3,21,S 13TH ST,-90.21420656,38.60063225
72,265321,3,16,S COMPTON AVE,-90.23910884,38.58540378
73,266999,5,38,FOREST PARK AVE,-90.25728223,38.63840911
74,65701,5,56,KENNERLY AVE,-90.24623991,38.66462285
75,266999,4,59,BACON ST,-90.22171407,38.65289698
76,266999,4,59,DR MARTIN LUTHER KING DR,-90.21660236,38.63952859
77,266999,3,30,OREGON AVE,-90.22996394,38.59817636
78,266999,3,30,OREGON AVE,-90.22996394,38.59817636
79,91113,5,46,DES PERES AVE,-90.29462812,38.65488198
80,266999,4,62,BIDDLE ST,-90.18886411,38.63615752
81,266999,5,54,MCMILLAN AVE,-90.25339182,38.65384674
82,266999,6,56,LABADIE AVE,-90.2414733,38.66548561
83,266999,6,68,HARRIS AVE,-90.22278976,38.67552852
84,151110,5,53,BAYARD AVE,-90.25841275,38.65258036
85,266999,3,24,GRAVOIS AVE,-90.2280807,38.60282086
86,51312,6,72,ROBIN AVE,-90.25282023,38.70001507
87,266999,3,18,OSAGE ST,-90.22633513,38.58211518
88,67701,4,35,S BROADWAY,-90.18961136,38.62483534
89,266999,5,58,C D BANKS AVE,-90.24104687,38.64861656
90,43015,3,33,DILLON DR,-90.20670386,38.61869837
91,266999,3,33,DILLON DR,-90.20670386,38.61869837
92,266999,4,62,BIDDLE ST,-90.18868398,38.6361186
93,115400,1,3,DEWEY AVE,-90.25507745,38.57267239
94,266999,3,33,PEABODY CT,-90.20601174,38.61736486
95,266999,3,33,PEABODY CT,-90.20601174,38.61736486
96,266999,3,33,KEALTY LN,-90.20610842,38.61820261
97,115400,4,59,LABADIE AVE,-90.22532554,38.65846048
98,69702,3,33,CASTLE LN,-90.20639996,38.61949392
99,266999,4,37,S GRAND BLVD,-90.2312948,38.63172092
100,266999,3,33,PEABODY CT,-90.20601139,38.61736486
101,266999,4,67,PLEASANT ST,-90.21284268,38.66361477
102,266999,4,60,N 22ND ST,-90.20730381,38.64589544
103,266999,5,57,W COTE BRILLIANTE AVE,-90.24024492,38.65620722
104,65701,6,74,GAST PL,-90.23189852,38.71684242
105,72113,2,12,S KINGSHIGHWAY BLVD,-90.26723166,38.61962525
106,67701,6,68,CLARENCE AVE,-90.22782248,38.67844275
107,266999,3,33,LASALLE LN,-90.20674303,38.6187067
108,43015,4,36,N 22ND ST,-90.21073896,38.63372036
109,266999,3,33,LASALLE LN,-90.20560862,38.61845672
110,115400,2,15,HARTFORD ST,-90.2445997,38.60179266
111,65701,4,59,N JEFFERSON AVE,-90.21288196,38.63806968
112,103000,4,37,MARKET ST,-90.23940454,38.63143721
113,67701,5,47,DELMAR BLVD,-90.27847576,38.65297705
114,265321,5,58,WHITTIER ST,-90.24363667,38.64938563
115,117000,1,16,GRAVOIS AVE,-90.25933084,38.58745439
116,71013,5,46,DELMAR BLVD,-90.28961943,38.65416188
117,69702,4,77,COOK AVE,-90.23109272,38.64636168
118,266999,4,59,GREER AVE,-90.21863505,38.65690962
119,43016,4,59,CASS AVE,-90.22711761,38.64837621
120,121000,5,51,DR MARTIN LUTHER KING DR,-90.26756503,38.6653207
121,266999,6,68,POPE AVE,-90.22668418,38.67959337
122,266999,5,46,DELMAR BLVD,-90.2903539,38.6542346
123,151110,5,38,DELMAR BLVD,-90.24830903,38.64762466
124,204100,3,19,NEBRASKA AVE,-90.23309614,38.59189261
125,266999,5,53,AUBERT AVE,-90.26055781,38.65976258
126,265321,4,36,OLIVE ST,-90.20771115,38.63198565
127,266999,6,69,POPE AVE,-90.22666721,38.68027981
128,51322,5,57,COTE BRILLIANTE AVE,-90.24320933,38.65805902
129,51322,4,36,LUCAS AVE,-90.20631271,38.63436286
