,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
0,115400,1,1,MICHIGAN AVE,MICHIGAN,-90.24875893499996,38.560418371000026
1,65701,6,74,HORNSBY AVE / NEWBY ST,RIVERVIEW,-90.23538879799997,38.718992161000074
2,121000,5,38,OLIVE ST,OLIVE,-90.23945786399997,38.64184984700006
3,43025,1,16,MERAMEC ST,MERAMEC,-90.24788817199999,38.58302306500008
4,43026,2,15,CHIPPEWA ST,CHIPPEWA,-90.25267325099998,38.58954115500006
5,91124,2,15,CHIPPEWA ST,CHIPPEWA,-90.25267325099998,38.58954115500006
6,115400,3,33,S 14TH ST,JEFFERSON,-90.20506680799997,38.61717575600005
7,51322,5,52,THEODOSIA AVE,THEODOSIA,-90.26485824599996,38.66622692800007
8,121000,2,15,CHIPPEWA ST,CHIPPEWA,-90.26986184599997,38.59108099100007
9,65701,6,74,N BROADWAY,BROADWAY,-90.23000621399996,38.707718999000065
10,115400,3,19,MICHIGAN AVE,JEFFERSON,-90.23727091899997,38.588716763000036
11,262100,4,77,N GRAND BLVD,GRAND,-90.23139284799998,38.63968704900003
12,69702,1,4,ROSWELL AVE,ROSWELL,-90.26804959599997,38.55798023400007
13,266400,6,76,PARK LN,OLIVE,-90.25242525699997,38.70724964400006
14,69702,5,50,ARLINGTON AVE,ARLINGTON,-90.26819004799995,38.67134095800003
15,121000,4,36,OLIVE ST,OLIVE,-90.20605997099995,38.631786555000076
16,65701,3,31,HICKORY ST,HICKORY,-90.22282889399997,38.62165933700004
17,266999,5,55,N KINGSHIGHWAY BLVD,KINGSHIGHWAY,-90.26015353899999,38.664212865000025
18,67701,6,69,SHREVE AVE,SHREVE,-90.24306202999998,38.67703288000007
19,67701,5,48,CATES AVE,CATES,-90.29491830399996,38.658237986000074
20,265321,6,68,POPE AVE,JEFFERSON,-90.22485580899996,38.68090986200008
21,115100,2,43,MANCHESTER AVE,MANCHESTER,-90.29709182299996,38.620801183000026
22,115400,3,25,S COMPTON AVE,JEFFERSON,-90.23449713299999,38.60516963900005
23,112010,5,46,KINGSBURY PL,KINGSBURY,-90.28525419199997,38.65130644100003
24,115100,2,29,S GRAND BLVD,GRAND,-90.23855378799999,38.62287902200006
25,266400,3,30,VIRGINIA AVE,VIRGINIA,-90.23823146699999,38.59541351100006
26,115400,1,1,TENNESSEE AVE,TENNESSEE,-90.26813428399998,38.55219247400004
27,43025,1,17,NEBRASKA AVE,NEBRASKA,-90.23534134699997,38.57787171200005
28,266999,3,30,NEBRASKA AVE,NEBRASKA,-90.23072978999994,38.600075565000054
29,266999,3,30,NEBRASKA AVE,NEBRASKA,-90.23072978999994,38.600075565000054
30,43015,3,22,SALENA ST,SALENA,-90.21777890899995,38.60062993300005
31,67701,3,18,ILLINOIS AVE,ILLINOIS,-90.22402753399996,38.58488590500008
32,117000,2,12,S KINGSHIGHWAY BLVD,KINGSHIGHWAY,-90.26723166399995,38.61962525400003
33,112010,5,38,LACLEDE AVE,LACLEDE,-90.24594007799999,38.63736629400006
34,67701,4,36,WASHINGTON AVE,WASHINGTON,-90.20229329799997,38.63260904400005
35,265321,3,26,HAWTHORNE BLVD,HAWTHORNE,-90.23079671399995,38.610073655000065
36,266999,3,18,KOSCIUSKO ST,KOSCIUSKO,-90.21702285999999,38.587049454000066
37,266999,3,18,KOSCIUSKO ST,KOSCIUSKO,-90.21871898399996,38.58596615100004
38,266999,3,24,GRAVOIS AVE,GRAVOIS,-90.22343226799995,38.60508634800004
39,266999,5,51,N KINGSHIGHWAY BLVD,KINGSHIGHWAY,-90.26230183099995,38.65870896200005
40,266999,3,18,KOSCIUSKO ST,KOSCIUSKO,-90.21643117199994,38.58742696200005
41,115200,5,38,LINDELL BLVD,LINDELL,-90.24275613099996,38.639855374000035
42,44021,6,56,LEXINGTON AVE,LEXINGTON,-90.22528065099999,38.66278517600006
43,103000,4,35,CLARK AVE,CLARK,-90.19305105399997,38.62404535600007
44,41014,1,1,VIRGINIA AVE,VIRGINIA,-90.25032157199996,38.55999581800006
45,266999,3,16,OSAGE ST,OSAGE,-90.23992115399994,38.584345652000025
46,65701,4,59,NATURAL BRIDGE AVE / PRAIRIE A,NORTH POINTE,-90.22272966099996,38.663775920000035
47,65701,4,59,NATURAL BRIDGE AVE / PRAIRIE A,NORTH POINTE,-90.22272966099996,38.663775920000035
48,115400,5,38,WESTMORELAND PL,WESTMORELAND,-90.26948804099999,38.64547432300003
49,51312,5,46,WASHINGTON AVE,WASHINGTON,-90.29725792299996,38.65404082200007
50,117000,2,12,S KINGSHIGHWAY BLVD,KINGSHIGHWAY,-90.26723166399995,38.61962525400003
51,72113,2,12,S KINGSHIGHWAY BLVD,KINGSHIGHWAY,-90.26723166399995,38.61962525400003
52,51322,5,46,MCPHERSON AVE,MCPHERSON,-90.29598607099996,38.65169360200008
53,69602,6,56,ASHLAND AVE,ASHLAND,-90.22658174399999,38.662689372000045
54,266999,3,24,GRAVOIS AVE,GRAVOIS,-90.22808069999996,38.60282086400008
55,71013,3,19,S GRAND BLVD / GRAVOIS AVE,,-90.24354403199999,38.592728763000025
56,67701,6,68,PENROSE ST,PENROSE,-90.22764754099995,38.67284071200004
