Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-030787,2018-07,01/01/2006 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3800,N NEWSTEAD AVE,68, , ,3800,NEWSTEAD,895638.1,1033127
18-030778,2018-07,01/01/2014 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5052,PLOVER AVE,72, , ,5052,PLOVER,890976.9,1042886
18-033335,2018-07,01/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8915,HALLS FERRY RD,74, , ,8915,HALLS FERRY,894751.8,1050966
18-033321,2018-07,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4864,LEE AVE,69, , ,4864,LEE,893100.3,1036196
18-033370,2018-07,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5115,ROBIN AVE,72, , ,5115,ROBIN,890348.6,1043545
18-034224,2018-07,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4510,ATHLONE AVE,68, , ,4510,ATHLONE,898737.6,1035408
18-033933,2018-07,01/01/2018 15:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3157,SUBLETTE AVE,13, ,@SPD,3157,SUBLETTE,882564.6,1008801
18-035128,2018-07,01/11/2017 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,863,GUSTAV AVE,74, , ,863,GUSTAV,896881.1,1052682
18-033082,2018-07,01/17/2018 20:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6301,WADE AVE,42, , ,6301,WADE,879785.5,1016489
18-029604,2018-07,01/21/2018 08:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
18-029606,2018-07,01/23/2018 06:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4429,KENNERLY AVE,57, , ,4429,KENNERLY,893715.7,1030363
18-029898,2018-07,01/29/2018 04:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4011,DELMAR BLVD,58, , ,4011,DELMAR,894365.3,1023749
18-029897,2018-07,01/30/2018 14:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5935,DELMAR BLVD,48, , ,5935,DELMAR,879643.6,1027424
18-030816,2018-07,02/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4934,PALM ST,55, , ,4934,PALM,891169.4,1034683
18-030852,2018-07,02/01/2018 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1600,WASHINGTON AVE,36, , ,1600,WASHINGTON,0,0
18-029605,2018-07,02/03/2018 20:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1451,N KINGSHIGHWAY BLVD,51, , ,1451,KINGSHIGHWAY,888171.9,1030307
18-029600,2018-07,02/04/2018 17:27,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
18-029602,2018-07,02/05/2018 23:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
18-029608,2018-07,02/18/2018 16:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION,3431,UNION,888884.8,1036000
